BHMCatS,SysID,star1_tau,star1_taums,star1_Z,star1_Y,star1_A,star1_FeH,star1_str_model,star1_str_rotmodel,star1_Pini,star1_taudisk,star1_tauc,star1_Kw,star1_Kc,star1_a,star1_n,star1_wsat,star1_K1,star1_Rosat,star1_logRXsat,star1_beta,star1_Extra1,star1_Extra2,star1_Extra3,star1_Extra4,star1_Extra5,star1_str_Extra1,star1_str_Extra2,star2_tau,star2_taums,star2_Z,star2_Y,star2_A,star2_FeH,star2_str_model,star2_str_rotmodel,star2_Pini,star2_taudisk,star2_tauc,star2_Kw,star2_Kc,star2_a,star2_n,star2_wsat,star2_Pini,star2_K1,star2_Rosat,star2_logRXsat,star2_beta,star2_Extra1,star2_Extra2,star2_Extra3,star2_Extra4,star2_Extra5,star2_str_Extra1,star2_str_Extra2,hz_str_incrit_wd,hz_str_outcrit_wd,hz_str_incrit_nr,hz_str_outcrit_nr,hz_Extra1,hz_Extra2,hz_Extra3,hz_Extra4,hz_Extra5,hz_str_Extra1,hz_str_Extra2,rotation_tauint,rotation_fdiss,rotation_Extra1,rotation_Extra2,rotation_Extra3,rotation_Extra4,rotation_Extra5,rotation_str_Extra1,rotation_str_Extra2,binary_Extra1,binary_Extra2,binary_Extra3,binary_Extra4,binary_Extra5,binary_str_Extra1,binary_str_Extra2
str,str,float,float,float,float,float,float,str,str,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,str,str,float,float,float,float,float,float,str,str,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,str,str,str,str,str,str,float,float,float,float,float,str,str,float,float,float,float,float,float,float,str,str,float,float,float,float,float,str,str
Cat.Id.,System Id.,Star1 Age,Star1 Main Seq.,Z_1,Z_1,A,[Fe/H]_1,Stellar Model,Rotation Model,"P_rot,ini",\tau_disk,\tau_c,K_w,K_c,a,n,\Omega_sat,K_1,Ro_sat,\log R_Xsat,\beta,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra String 1,Extra String 2,Star2 Age,Star2 Main Seq.,Z_2,Z_2,A,[Fe/H]_2,Stellar Model,Rotation Model,"P_rot,ini",\tau_disk,\tau_c,K_w,K_c,a,n,\Omega_sat,"P_rot,ini",K_1,Ro_sat,\log R_Xsat,\beta,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra String 1,Extra String 2,Wide HZ In.Edge,Wide HZ Out.Edge,Narrow HZ In.Edge,Narrow HZ Out.Edge,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra String 1,Extra String 2,\tau_int,f_diss,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra String 1,Extra String 2,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra String 1,Extra String 2
BHMCatS0008D,KIC-9632895,2,"10,1",0,"0,275556","0,95","-0,34",PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',2,0,0,"0,275556","0,95","-0,34",PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",1E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0009P,KX Cnc,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0010P,V54 M55,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0011P,V66 M4,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0012P,EW Ori,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0013P,V785 Cep,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0014P,M4-V69,"10,9",0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',"10,9",0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0015P,LSPM J1112+7626,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0016P,V69-47 Tuc ,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0017P,AI Phe,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0018P,LL Aqr,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0019P,V565 Lyr,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0020P,LV Her,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0021P,KIC 6131659,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0022P,V568 Lyr ,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0023P,TYC 176-2950-1,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0024P,BF Dra,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0025P,HP Dra,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0026P,RW Lac,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0027P,HS Aur,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0028P,TV Cet,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0029P,ASAS J162637-5042.8 ,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0030P,2MASS J19071662+4639532 ,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0031P,M4-V66,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0032P,CD-80 28,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0033P,V1143 Cyg,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0034P,ASAS J085524-4411.3 ,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0035P,EW Ori,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
BHMCatS0036P,FM Leo,1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null',1,0,0,"0,275556","0,95",0,PARSEC,Chaboyer,7,"0,002",5,"4,7E+040",5E+040,1,"1,5",0,7,"11,3",0.16,"-3,13","-2,7",0,0,0,0,0,'Null','Null','recent venus','early mars','runaway greenhouse','maximum greenhouse',0,0,0,0,0,'Null','Null',2,1,0,0,0,0,0,'Null','Null',0,0,0,0,0,'Null','Null'
